log,fullmove,ply,side,fen,move,rank,score_cp,gap_cp,candidate_move,reference_move,round,legal_moves
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,f6d8,14,-303,152,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,g8h8,15,-317,166,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,e6e5,16,-354,203,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,c6e8,17,-355,204,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,c8f8,18,-376,225,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,c6e4,19,-393,242,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,c8e8,20,-432,281,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,a8a6,21,-436,285,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,a8a3,22,-477,326,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,b8a6,23,-501,350,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,b8d7,24,-544,393,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,c6g2,25,-548,397,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,f6g5,26,-559,408,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,c8c7,27,-561,410,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,c6h1,28,-562,411,g8f8,f6d4,4,33
