log,fullmove,ply,side,fen,move,rank,score_cp,gap_cp,target_oracle_moves,target_reference_moves,target_candidate_moves,target_worst_diff,target_hits
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,d6g3,39,-574,645,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,b2c1,40,-580,651,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,d6c5,41,-584,655,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,h6h5,42,-584,655,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,d6b4,43,-594,665,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,b2a1,44,-595,666,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,c6a8,45,-596,667,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,f7f6,46,-597,668,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,c6b7,47,-628,699,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,b2b6,48,-669,740,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,c8d7,1,-4,0,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,c6e7,2,-38,34,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,h7h6,3,-52,48,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,a7a6,4,-75,71,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,h5g4,5,-87,83,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,h8g8,6,-90,86,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,b7b6,7,-91,87,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,a7a5,8,-105,101,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,h8f8,9,-106,102,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,c6a5,10,-108,104,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
